YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,REGION,STATEFIP,STRATA,GQ,PERNUM,PERWT,FAMUNIT,MOMLOC,POPLOC,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,BPL,BPLD,MBPL,MBPLD,FBPL,FBPLD,SCHOOL,SCHLMNTH,LIT,OCC,OCCSCORE,StateName,BirthplaceName,OccupationTitle
1900,190002,9765901,100.0,1900097659011,31,37,120423711702,1,6,100.0,1,2,1,3,301,1,0,6,2,200,37,3700,37,3700,37,3700,1,99.0,0,999,0,North Carolina,North Carolina,Not in labor force / missing
1900,190002,12746501,100.0,1900127465011,32,47,156114702100,1,4,100.0,1,2,1,3,301,2,3,6,2,200,47,4700,47,4700,47,4700,1,99.0,0,999,0,Tennessee,Tennessee,Not in labor force / missing
1900,190002,140901,101.0,1900001409011,32,1,1720106302,1,2,101.0,1,0,0,2,201,2,47,1,2,200,1,100,1,100,1,100,1,99.0,1,999,0,Alabama,Alabama,Not in labor force / missing
1900,190002,454801,100.0,1900004548011,33,5,5710503701,1,1,100.0,1,0,0,1,101,1,37,1,2,200,5,500,51,5100,5,500,1,99.0,4,5,14,Arkansas,Arkansas,Laborers (not farm)
1900,190002,6602401,100.0,1900066024011,32,28,79912800100,1,1,100.0,1,0,0,1,101,1,54,1,2,200,45,4500,45,4500,45,4500,1,99.0,4,5,14,Mississippi,South Carolina,Laborers (not farm)
1900,190002,9663701,100.0,1900096637011,31,37,119123705300,1,7,100.0,1,2,1,3,301,2,7,6,2,200,37,3700,37,3700,37,3700,1,99.0,0,999,0,North Carolina,North Carolina,Not in labor force / missing
1900,190002,6842801,100.0,1900068428011,32,28,82722812700,1,5,100.0,1,0,0,10,1031,2,15,6,2,200,28,2800,28,2800,28,2800,1,99.0,3,1,9,Mississippi,Mississippi,Farm laborers
1900,190002,13867301,100.0,1900138673011,31,51,170225103303,1,2,100.0,1,0,0,2,201,2,54,1,2,200,51,5100,51,5100,51,5100,1,99.0,1,999,0,Virginia,Virginia,Not in labor force / missing
1900,190002,23401,101.0,1900000234011,32,1,410101100,1,3,101.0,1,1,0,3,301,1,17,6,2,200,1,100,1,100,1,100,1,99.0,4,39,20,Alabama,Alabama,Porters and janitors
1900,190002,4675001,100.0,1900046750011,33,22,56512204100,1,1,100.0,1,0,0,1,101,1,28,1,2,200,22,2200,22,2200,22,2200,1,99.0,4,5,14,Louisiana,Louisiana,Laborers (not farm)
